text,label
Secret lab creates safety machine to control minds.,FAKE
Dragon spotted in Pune during safety festival.,FAKE
University researchers publish peer-reviewed study on vaccination.,REAL
Ministry issues guidelines for vaccination across Mumbai.,REAL
Secret lab creates finance machine to control minds.,FAKE
Official report shows energy improved in 2015.,REAL
University researchers publish peer-reviewed study on transport.,REAL
University researchers publish peer-reviewed study on energy.,REAL
Official report shows energy improved in 2024.,REAL
Celebrity claims education cures all diseases instantly.,FAKE
Official report shows safety improved in 2025.,REAL
Aliens confirm plan to visit Mumbai for climate.,FAKE
Ministry issues guidelines for finance across Jaipur.,REAL
Ministry issues guidelines for transport across Chennai.,REAL
Celebrity claims transport cures all diseases instantly.,FAKE
Local authorities schedule vaccination drive next week.,REAL
Celebrity claims climate cures all diseases instantly.,FAKE
Dragon spotted in Pune during energy festival.,FAKE
Government announces new climate initiative in Jaipur.,REAL
Aliens confirm plan to visit Jaipur for energy.,FAKE
Official report shows energy improved in 2024.,REAL
Official report shows transport improved in 2025.,REAL
Dragon spotted in Bengaluru during finance festival.,FAKE
Time traveler warns of health disaster tomorrow.,FAKE
Official report shows finance improved in 2023.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Government announces new health initiative in Jaipur.,REAL
Secret lab creates transport machine to control minds.,FAKE
Local authorities schedule transport drive next week.,REAL
Government announces new safety initiative in Hyderabad.,REAL
Time traveler warns of education disaster tomorrow.,FAKE
Time traveler warns of education disaster tomorrow.,FAKE
Secret lab creates transport machine to control minds.,FAKE
Aliens confirm plan to visit Jaipur for health.,FAKE
Government announces new climate initiative in Jaipur.,REAL
Time traveler warns of health disaster tomorrow.,FAKE
University researchers publish peer-reviewed study on transport.,REAL
Government announces new transport initiative in Chennai.,REAL
Dragon spotted in Delhi during vaccination festival.,FAKE
Government announces new health initiative in Kolkata.,REAL
Government announces new transport initiative in Hyderabad.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Local authorities schedule health drive next week.,REAL
Celebrity claims vaccination cures all diseases instantly.,FAKE
Celebrity claims health cures all diseases instantly.,FAKE
Secret lab creates safety machine to control minds.,FAKE
Time traveler warns of transport disaster tomorrow.,FAKE
University researchers publish peer-reviewed study on finance.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Dragon spotted in Bengaluru during health festival.,FAKE
Time traveler warns of education disaster tomorrow.,FAKE
Ministry issues guidelines for safety across Pune.,REAL
Aliens confirm plan to visit Chennai for transport.,FAKE
Celebrity claims health cures all diseases instantly.,FAKE
Ministry issues guidelines for energy across Pune.,REAL
Dragon spotted in Mumbai during education festival.,FAKE
Ministry issues guidelines for health across Jaipur.,REAL
University researchers publish peer-reviewed study on transport.,REAL
Dragon spotted in Hyderabad during finance festival.,FAKE
Dragon spotted in Bengaluru during safety festival.,FAKE
Aliens confirm plan to visit Pune for energy.,FAKE
Secret lab creates transport machine to control minds.,FAKE
Government announces new finance initiative in Chennai.,REAL
Local authorities schedule transport drive next week.,REAL
Celebrity claims transport cures all diseases instantly.,FAKE
Time traveler warns of education disaster tomorrow.,FAKE
Official report shows safety improved in 2016.,REAL
Secret lab creates health machine to control minds.,FAKE
Celebrity claims education cures all diseases instantly.,FAKE
Local authorities schedule health drive next week.,REAL
Official report shows climate improved in 2022.,REAL
Dragon spotted in Bengaluru during education festival.,FAKE
Official report shows finance improved in 2021.,REAL
Secret lab creates safety machine to control minds.,FAKE
Dragon spotted in Bengaluru during education festival.,FAKE
Government announces new energy initiative in Jaipur.,REAL
Government announces new energy initiative in Delhi.,REAL
Local authorities schedule health drive next week.,REAL
Time traveler warns of safety disaster tomorrow.,FAKE
University researchers publish peer-reviewed study on vaccination.,REAL
Official report shows safety improved in 2020.,REAL
Local authorities schedule safety drive next week.,REAL
Local authorities schedule safety drive next week.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Celebrity claims transport cures all diseases instantly.,FAKE
Local authorities schedule climate drive next week.,REAL
Ministry issues guidelines for health across Hyderabad.,REAL
Time traveler warns of transport disaster tomorrow.,FAKE
Secret lab creates vaccination machine to control minds.,FAKE
Time traveler warns of vaccination disaster tomorrow.,FAKE
Celebrity claims climate cures all diseases instantly.,FAKE
Government announces new safety initiative in Bengaluru.,REAL
Secret lab creates health machine to control minds.,FAKE
Celebrity claims education cures all diseases instantly.,FAKE
Celebrity claims finance cures all diseases instantly.,FAKE
Time traveler warns of transport disaster tomorrow.,FAKE
Government announces new transport initiative in Bengaluru.,REAL
Secret lab creates transport machine to control minds.,FAKE
Secret lab creates climate machine to control minds.,FAKE
Secret lab creates climate machine to control minds.,FAKE
Official report shows vaccination improved in 2019.,REAL
Local authorities schedule energy drive next week.,REAL
Time traveler warns of vaccination disaster tomorrow.,FAKE
University researchers publish peer-reviewed study on health.,REAL
Official report shows health improved in 2016.,REAL
Celebrity claims energy cures all diseases instantly.,FAKE
Government announces new safety initiative in Hyderabad.,REAL
Celebrity claims health cures all diseases instantly.,FAKE
Ministry issues guidelines for climate across Jaipur.,REAL
Celebrity claims education cures all diseases instantly.,FAKE
Ministry issues guidelines for energy across Kolkata.,REAL
Aliens confirm plan to visit Mumbai for vaccination.,FAKE
Government announces new safety initiative in Mumbai.,REAL
Government announces new education initiative in Chennai.,REAL
Dragon spotted in Kolkata during vaccination festival.,FAKE
Government announces new vaccination initiative in Kolkata.,REAL
Official report shows climate improved in 2015.,REAL
Celebrity claims transport cures all diseases instantly.,FAKE
Secret lab creates energy machine to control minds.,FAKE
Dragon spotted in Hyderabad during vaccination festival.,FAKE
Time traveler warns of climate disaster tomorrow.,FAKE
Dragon spotted in Bengaluru during climate festival.,FAKE
Local authorities schedule finance drive next week.,REAL
Secret lab creates vaccination machine to control minds.,FAKE
Celebrity claims finance cures all diseases instantly.,FAKE
Celebrity claims education cures all diseases instantly.,FAKE
Time traveler warns of climate disaster tomorrow.,FAKE
Celebrity claims finance cures all diseases instantly.,FAKE
Aliens confirm plan to visit Jaipur for finance.,FAKE
Local authorities schedule health drive next week.,REAL
Local authorities schedule education drive next week.,REAL
Ministry issues guidelines for transport across Mumbai.,REAL
Government announces new vaccination initiative in Pune.,REAL
University researchers publish peer-reviewed study on health.,REAL
Government announces new education initiative in Mumbai.,REAL
Government announces new education initiative in Delhi.,REAL
Government announces new vaccination initiative in Jaipur.,REAL
Official report shows education improved in 2018.,REAL
Aliens confirm plan to visit Kolkata for transport.,FAKE
Local authorities schedule vaccination drive next week.,REAL
Time traveler warns of vaccination disaster tomorrow.,FAKE
Ministry issues guidelines for transport across Hyderabad.,REAL
Time traveler warns of transport disaster tomorrow.,FAKE
Ministry issues guidelines for transport across Kolkata.,REAL
Celebrity claims transport cures all diseases instantly.,FAKE
Secret lab creates vaccination machine to control minds.,FAKE
Local authorities schedule finance drive next week.,REAL
Time traveler warns of health disaster tomorrow.,FAKE
Celebrity claims vaccination cures all diseases instantly.,FAKE
Aliens confirm plan to visit Chennai for health.,FAKE
Local authorities schedule vaccination drive next week.,REAL
Official report shows education improved in 2016.,REAL
Time traveler warns of education disaster tomorrow.,FAKE
University researchers publish peer-reviewed study on energy.,REAL
University researchers publish peer-reviewed study on energy.,REAL
Ministry issues guidelines for education across Kolkata.,REAL
Ministry issues guidelines for climate across Jaipur.,REAL
University researchers publish peer-reviewed study on energy.,REAL
Time traveler warns of health disaster tomorrow.,FAKE
Ministry issues guidelines for climate across Hyderabad.,REAL
Aliens confirm plan to visit Kolkata for health.,FAKE
Celebrity claims health cures all diseases instantly.,FAKE
Secret lab creates vaccination machine to control minds.,FAKE
Ministry issues guidelines for health across Hyderabad.,REAL
Government announces new transport initiative in Hyderabad.,REAL
Local authorities schedule safety drive next week.,REAL
Secret lab creates education machine to control minds.,FAKE
Time traveler warns of health disaster tomorrow.,FAKE
Ministry issues guidelines for safety across Chennai.,REAL
Dragon spotted in Hyderabad during energy festival.,FAKE
Secret lab creates vaccination machine to control minds.,FAKE
University researchers publish peer-reviewed study on finance.,REAL
Local authorities schedule safety drive next week.,REAL
Official report shows energy improved in 2025.,REAL
Time traveler warns of transport disaster tomorrow.,FAKE
Government announces new vaccination initiative in Bengaluru.,REAL
Local authorities schedule vaccination drive next week.,REAL
University researchers publish peer-reviewed study on finance.,REAL
Government announces new health initiative in Mumbai.,REAL
Secret lab creates vaccination machine to control minds.,FAKE
Ministry issues guidelines for safety across Hyderabad.,REAL
Celebrity claims education cures all diseases instantly.,FAKE
Ministry issues guidelines for health across Mumbai.,REAL
Government announces new climate initiative in Chennai.,REAL
Local authorities schedule energy drive next week.,REAL
Government announces new climate initiative in Jaipur.,REAL
Dragon spotted in Bengaluru during energy festival.,FAKE
Secret lab creates transport machine to control minds.,FAKE
University researchers publish peer-reviewed study on health.,REAL
Secret lab creates safety machine to control minds.,FAKE
Secret lab creates transport machine to control minds.,FAKE
Aliens confirm plan to visit Pune for health.,FAKE
Celebrity claims health cures all diseases instantly.,FAKE
Ministry issues guidelines for safety across Mumbai.,REAL
Ministry issues guidelines for climate across Jaipur.,REAL
Official report shows vaccination improved in 2015.,REAL
Celebrity claims safety cures all diseases instantly.,FAKE
Aliens confirm plan to visit Mumbai for transport.,FAKE
Government announces new safety initiative in Delhi.,REAL
Government announces new climate initiative in Bengaluru.,REAL
Government announces new transport initiative in Pune.,REAL
Dragon spotted in Kolkata during education festival.,FAKE
Official report shows energy improved in 2024.,REAL
Local authorities schedule vaccination drive next week.,REAL
Aliens confirm plan to visit Hyderabad for safety.,FAKE
Government announces new finance initiative in Delhi.,REAL
Dragon spotted in Delhi during energy festival.,FAKE
Official report shows health improved in 2020.,REAL
Government announces new vaccination initiative in Bengaluru.,REAL
Ministry issues guidelines for energy across Jaipur.,REAL
Time traveler warns of vaccination disaster tomorrow.,FAKE
Time traveler warns of vaccination disaster tomorrow.,FAKE
Time traveler warns of transport disaster tomorrow.,FAKE
Official report shows energy improved in 2017.,REAL
Time traveler warns of transport disaster tomorrow.,FAKE
Local authorities schedule energy drive next week.,REAL
Celebrity claims transport cures all diseases instantly.,FAKE
Aliens confirm plan to visit Hyderabad for education.,FAKE
Dragon spotted in Bengaluru during vaccination festival.,FAKE
Government announces new finance initiative in Chennai.,REAL
Government announces new education initiative in Kolkata.,REAL
Secret lab creates transport machine to control minds.,FAKE
Ministry issues guidelines for health across Jaipur.,REAL
Dragon spotted in Chennai during transport festival.,FAKE
Government announces new finance initiative in Jaipur.,REAL
Time traveler warns of safety disaster tomorrow.,FAKE
Government announces new health initiative in Chennai.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Local authorities schedule finance drive next week.,REAL
Secret lab creates education machine to control minds.,FAKE
Local authorities schedule climate drive next week.,REAL
Official report shows transport improved in 2025.,REAL
Aliens confirm plan to visit Hyderabad for finance.,FAKE
Secret lab creates safety machine to control minds.,FAKE
Official report shows transport improved in 2025.,REAL
Secret lab creates transport machine to control minds.,FAKE
Ministry issues guidelines for education across Jaipur.,REAL
Secret lab creates climate machine to control minds.,FAKE
Local authorities schedule climate drive next week.,REAL
Celebrity claims vaccination cures all diseases instantly.,FAKE
